"customer_id","first_name","last_name","city","phone_number","email","registration_date"
28,"Aarti","Deshmukh","Aurangabad","7654321071","aarti.deshmukh@gmail.com","2019-11-12"
34,"Abhishek","Dutta","Bhubaneshwar","6543210912","abhishek.dutta@gmail.com","2022-08-08"
29,"Ajay","Thakur","Nashik","6543210998","ajay.thakur@yahoo.com","2022-05-05"
14,"Akash","Verma","Gurgaon","6543210876","akash.verma@yahoo.com","2022-04-25"
24,"Alok","Tiwari","Jodhpur","6543210452","alok.tiwari@hotmail.com","2022-10-10"
3,"Amit","Gupta","Bengaluru","7654321098","amit.gupta@hotmail.com","2020-05-10"
6,"Anjali","Desai","Pune","9876054321","anjali.desai@gmail.com","2021-05-23"
19,"Ankita","Rao","Indore","6543210976","ankita.rao@gmail.com","2022-09-12"
20,"Arjun","Iyer","Vadodara","5432109786","arjun.iyer@hotmail.com","2023-02-18"
10,"Deepika","Jain","Lucknow","5432608769","deepika.jain@gmail.com","2022-06-15"
